,time,country,category,peak
343,2021-04-19T17:01:00Z,US,other,1
344,2021-04-19T16:56:00Z,US,live,1
345,2021-04-19T15:34:00Z,US,live,1
346,2021-04-14T17:01:00Z,US,other,1
347,2021-04-14T16:18:00Z,US,live,0
348,2021-04-14T15:42:00Z,US,live,1
349,2021-04-07T17:01:00Z,US,other,1
350,2021-04-07T16:26:00Z,US,live,0
351,2021-04-07T16:17:00Z,US,live,0
352,2021-04-06T20:11:00Z,US,president speech,0
353,2021-04-06T18:59:00Z,US,live,0
354,2021-04-06T17:58:00Z,US,live,0
355,2021-04-06T17:12:00Z,US,live,1
356,2021-04-06T15:31:00Z,US,live,1
357,2021-04-01T18:01:00Z,US,live,0
358,2021-04-01T16:18:00Z,US,live,0
359,2021-04-01T16:18:00Z,US,live,0
360,2021-03-31T17:00:00Z,US,live,1
361,2021-03-30T17:34:00Z,US,live,0
362,2021-03-29T18:30:00Z,US,president speech,0
363,2021-03-29T17:00:00Z,US,live,1
364,2021-03-25T18:01:00Z,US,live,0
365,2021-03-25T15:16:00Z,US,live,0
366,2021-03-25T14:36:00Z,US,live,0
367,2021-03-24T17:00:00Z,US,live,1
368,2021-03-24T15:30:00Z,US,other,0
369,2021-03-23T18:30:00Z,US,live,0
370,2021-03-22T17:00:00Z,US,live,1
371,2021-03-17T17:00:00Z,US,live,1
372,2021-03-17T14:52:00Z,US,live,0
373,2021-03-15T18:03:00Z,US,president speech,0
374,2021-03-15T16:05:00Z,US,live,0
375,2021-03-12T19:33:00Z,US,president speech,0
376,2021-03-12T18:30:00Z,US,live,1
377,2021-03-11T18:59:00Z,US,live,0
378,2021-03-11T15:51:00Z,US,live,0
379,2021-03-11T15:30:00Z,US,live,0
380,2021-03-09T16:00:00Z,US,live,0
381,2021-03-09T12:54:00Z,US,live,0
382,2021-03-08T18:02:00Z,US,other,1
383,2021-03-08T16:31:00Z,US,live,1
384,2021-03-05T17:38:00Z,US,live,1
385,2021-03-05T16:42:00Z,US,live,1
386,2021-03-05T15:23:00Z,US,live,0
387,2021-03-04T20:05:00Z,US,other,0
388,2021-03-04T19:36:00Z,US,live,0
389,2021-03-04T19:28:00Z,US,live,0
390,2021-03-04T18:34:00Z,US,live,0
391,2021-03-03T18:05:00Z,US,live,1
392,2021-03-03T16:06:00Z,US,other,0
393,2021-03-03T16:01:00Z,US,live,0
394,2021-03-03T14:02:00Z,US,live,0
395,2021-03-02T21:18:00Z,US,other,0
396,2021-03-02T21:16:00Z,US,other,0
397,2021-03-02T18:02:00Z,US,live,1
398,2021-03-02T17:39:00Z,US,live,1
399,2021-03-02T16:20:00Z,US,president speech,0
400,2021-03-02T16:13:00Z,US,live,0
401,2021-03-02T14:40:00Z,US,live,0
402,2021-03-02T13:04:00Z,US,live,0
403,2021-03-01T19:08:00Z,US,live,0
404,2021-03-01T18:30:00Z,US,live,1
405,2021-03-01T18:26:00Z,US,live,1
406,2021-03-01T18:22:00Z,US,live,1
407,2021-03-01T18:07:00Z,US,other,1
408,2021-03-01T18:03:00Z,US,other,1
409,2021-03-01T17:08:00Z,US,live,0
410,2021-03-01T16:56:00Z,US,live,1
411,2021-03-01T16:08:00Z,US,live,0
412,2021-03-01T15:27:00Z,US,live,0
413,2021-03-01T12:37:00Z,US,other,0
414,2021-02-28T23:30:00Z,US,other,0
415,2021-02-28T23:05:00Z,US,live,0
416,2021-02-27T18:10:00Z,US,other,1
417,2021-02-27T15:59:00Z,US,president speech,0
418,2021-02-27T15:41:00Z,US,live,0
419,2021-02-27T15:40:00Z,US,live,0
420,2021-02-26T23:31:00Z,US,other,0
421,2021-02-26T22:54:00Z,US,other,0
422,2021-02-26T22:47:00Z,US,president speech,0
423,2021-02-26T20:30:00Z,US,other,0
424,2021-02-26T20:16:00Z,US,other,0
425,2021-02-26T19:27:00Z,US,live,0
426,2021-02-26T18:37:00Z,US,other,0
427,2021-02-26T18:26:00Z,US,other,1
428,2021-02-26T18:22:00Z,US,other,1
429,2021-02-26T18:14:00Z,US,live,1
430,2021-02-26T18:08:00Z,US,other,1
431,2021-02-26T18:06:00Z,US,live,1
432,2021-02-26T18:02:00Z,US,live,1
433,2021-02-26T17:47:00Z,US,other,1
434,2021-02-26T16:54:00Z,US,live,1
435,2021-02-26T16:38:00Z,US,live,1
436,2021-02-26T16:34:00Z,US,live,1
437,2021-02-26T16:07:00Z,US,live,0
438,2021-02-26T16:05:00Z,US,live,0
439,2021-02-26T15:53:00Z,US,other,0
440,2021-02-26T14:18:00Z,US,live,0
441,2021-02-26T13:56:00Z,US,live,0
442,2021-02-25T22:14:00Z,US,other,0
443,2021-02-25T21:43:00Z,US,president speech,0
444,2021-02-25T20:14:00Z,US,president speech,0
445,2021-02-25T19:15:00Z,US,live,0
446,2021-02-25T18:28:00Z,US,live,1
447,2021-02-25T18:15:00Z,US,live,1
448,2021-02-25T17:38:00Z,US,live,1
449,2021-02-25T15:04:00Z,US,live,0
450,2021-02-25T14:33:00Z,US,live,0
451,2021-02-25T14:31:00Z,US,live,0
452,2021-02-25T00:06:00Z,US,other,0
453,2021-02-24T23:53:00Z,US,other,0
454,2021-02-24T22:35:00Z,US,president speech,0
455,2021-02-24T20:16:00Z,US,live,0
456,2021-02-24T20:11:00Z,US,other,0
457,2021-02-24T20:05:00Z,US,other,0
458,2021-02-24T17:57:00Z,US,live,1
459,2021-02-24T17:37:00Z,US,live,1
460,2021-02-24T16:27:00Z,US,live,0
461,2021-02-24T16:18:00Z,US,live,0
462,2021-02-24T15:36:00Z,US,other,0
463,2021-02-24T14:07:00Z,US,live,0
464,2021-02-24T12:36:00Z,US,live,0
465,2021-02-23T21:32:00Z,US,other,0
466,2021-02-23T19:31:00Z,US,live,0
467,2021-02-22T23:41:00Z,US,other,0
468,2021-02-22T23:03:00Z,US,other,0
469,2021-02-22T23:01:00Z,US,president speech,0
470,2021-02-22T22:57:00Z,US,other,0
471,2021-02-22T21:22:00Z,US,live,0
472,2021-02-22T21:01:00Z,US,other,0
473,2021-02-22T19:24:00Z,US,president speech,0
474,2021-02-22T18:17:00Z,US,live,1
475,2021-02-22T18:16:00Z,US,other,1
476,2021-02-22T18:02:00Z,US,other,1
477,2021-02-22T17:50:00Z,US,live,1
478,2021-02-22T17:11:00Z,US,live,0
479,2021-02-22T16:44:00Z,US,other,1
480,2021-02-22T16:44:00Z,US,live,1
481,2021-02-22T16:37:00Z,US,live,1
482,2021-02-22T16:21:00Z,US,live,0
483,2021-02-22T16:18:00Z,US,live,0
484,2021-02-22T15:45:00Z,US,live,0
485,2021-02-22T15:32:00Z,US,live,0
486,2021-02-22T14:40:00Z,US,live,0
487,2021-02-22T14:30:00Z,US,live,0
488,2021-02-22T14:22:00Z,US,live,0
489,2021-02-22T14:14:00Z,US,live,0
490,2021-02-20T15:47:00Z,US,live,0
491,2021-02-20T12:07:00Z,US,other,0
492,2021-02-19T23:30:00Z,US,other,0
493,2021-02-19T22:04:00Z,US,live,0
494,2021-02-19T20:17:00Z,US,president speech,0
495,2021-02-19T18:21:00Z,US,live,1
496,2021-02-19T18:18:00Z,US,live,1
497,2021-02-19T18:16:00Z,US,other,1
498,2021-02-19T18:02:00Z,US,other,1
499,2021-02-19T17:52:00Z,US,other,1
500,2021-02-19T17:47:00Z,US,live,1
501,2021-02-19T17:13:00Z,US,other,0
502,2021-02-19T16:52:00Z,US,other,1
503,2021-02-19T16:30:00Z,US,live,0
504,2021-02-19T16:19:00Z,US,live,0
505,2021-02-19T16:15:00Z,US,president speech,0
506,2021-02-19T15:01:00Z,US,live,0
507,2021-02-18T23:49:00Z,US,live,0
508,2021-02-18T21:14:00Z,US,other,0
509,2021-02-18T21:09:00Z,US,other,0
510,2021-02-18T20:20:00Z,US,live,0
511,2021-02-18T20:10:00Z,US,other,0
512,2021-02-18T17:38:00Z,US,live,1
513,2021-02-18T14:12:00Z,US,other,0
514,2021-02-18T14:03:00Z,US,live,0
515,2021-02-18T14:00:00Z,US,live,0
516,2021-02-18T13:19:00Z,US,live,0
517,2021-02-18T00:14:00Z,US,live,0
518,2021-02-17T21:11:00Z,US,live,0
519,2021-02-17T21:10:00Z,US,other,0
520,2021-02-17T18:19:00Z,US,live,1
521,2021-02-17T18:11:00Z,US,live,1
522,2021-02-17T18:02:00Z,US,other,1
523,2021-02-17T18:01:00Z,US,live,1
524,2021-02-17T17:59:00Z,US,other,1
525,2021-02-17T17:09:00Z,US,live,0
526,2021-02-17T17:08:00Z,US,live,0
527,2021-02-17T17:00:00Z,US,live,1
528,2021-02-17T16:48:00Z,US,live,1
529,2021-02-17T15:21:00Z,US,live,0
530,2021-02-17T15:07:00Z,US,live,0
531,2021-02-17T14:10:00Z,US,live,0
532,2021-02-17T14:00:00Z,US,live,0
533,2021-02-17T01:15:00Z,US,president speech,0
534,2021-02-16T23:54:00Z,US,live,0
535,2021-02-16T22:20:00Z,US,other,0
536,2021-02-16T22:05:00Z,US,other,0
